execucao|qtd_amostra|rodada|tmp_python|tmp_total
0|1000|0|0.0068171024322509766|0.039815425872802734
1|1000|0|0.005666971206665039|0.029154539108276367
2|1000|0|0.0051534175872802734|0.02527594566345215
3|1000|0|0.005093812942504883|0.026193618774414062
4|1000|0|0.005108356475830078|0.026497602462768555
5|1000|0|0.005075693130493164|0.0264739990234375
6|1000|0|0.0053784847259521484|0.026374101638793945
7|1000|0|0.005005359649658203|0.02631402015686035
8|1000|0|0.005159139633178711|0.025269746780395508
9|1000|0|0.004904508590698242|0.02532482147216797
10|1000|0|0.0048444271087646484|0.025151968002319336
11|1000|0|0.0048675537109375|0.024230003356933594
12|1000|0|0.004491567611694336|0.025760412216186523
13|1000|0|0.004537105560302734|0.024295806884765625
14|1000|0|0.0045588016510009766|0.024280548095703125
15|1000|0|0.004748344421386719|0.02439403533935547
16|1000|0|0.004571199417114258|0.024356603622436523
17|1000|0|0.004586696624755859|0.02460312843322754
18|1000|0|0.004378557205200195|0.024170875549316406
19|1000|0|0.004515171051025391|0.024713754653930664
20|1000|0|0.004533052444458008|0.025042057037353516
21|1000|0|0.0045168399810791016|0.025896310806274414
22|1000|0|0.004807710647583008|0.02418994903564453
23|1000|0|0.0047376155853271484|0.024987220764160156
24|1000|0|0.004578113555908203|0.02590346336364746
25|1000|0|0.00459742546081543|0.024689435958862305
26|1000|0|0.004426479339599609|0.024350404739379883
27|1000|0|0.004625797271728516|0.024538278579711914
28|1000|0|0.004776477813720703|0.024573087692260742
29|1000|0|0.004495859146118164|0.024064302444458008
30|1000|0|0.004712581634521484|0.02410292625427246
31|1000|0|0.004508018493652344|0.02406001091003418
32|1000|0|0.004597663879394531|0.024356365203857422
33|1000|0|0.004656553268432617|0.02439093589782715
34|1000|0|0.005275726318359375|0.024673938751220703
35|1000|0|0.005710124969482422|0.027151823043823242
36|1000|0|0.004702329635620117|0.02425241470336914
37|1000|0|0.004748821258544922|0.024410009384155273
38|1000|0|0.004633665084838867|0.02449655532836914
39|1000|0|0.004546165466308594|0.024008989334106445
40|1000|0|0.00488591194152832|0.025967121124267578
41|1000|0|0.004637479782104492|0.024522066116333008
42|1000|0|0.004814863204956055|0.026113033294677734
43|1000|0|0.00482630729675293|0.024475574493408203
44|1000|0|0.004475831985473633|0.024135589599609375
45|1000|0|0.0044841766357421875|0.024194717407226562
46|1000|0|0.0045719146728515625|0.024250030517578125
47|1000|0|0.004595041275024414|0.023994922637939453
48|1000|0|0.004622220993041992|0.024549484252929688
49|1000|0|0.004624128341674805|0.0242767333984375
0|2000|1|0.0077037811279296875|0.06171393394470215
1|2000|1|0.006145477294921875|0.05944204330444336
2|2000|1|0.00559234619140625|0.04396200180053711
3|2000|1|0.005316972732543945|0.04217028617858887
4|2000|1|0.0060100555419921875|0.04592752456665039
5|2000|1|0.005739927291870117|0.045832157135009766
6|2000|1|0.005387306213378906|0.04178142547607422
7|2000|1|0.0056476593017578125|0.04212141036987305
8|2000|1|0.005763530731201172|0.04189872741699219
9|2000|1|0.005664825439453125|0.04210948944091797
10|2000|1|0.005575656890869141|0.041928768157958984
11|2000|1|0.00562739372253418|0.04249453544616699
12|2000|1|0.005914926528930664|0.04253554344177246
13|2000|1|0.005980730056762695|0.05992698669433594
14|2000|1|0.005681514739990234|0.04292583465576172
15|2000|1|0.005335569381713867|0.041631221771240234
16|2000|1|0.0058329105377197266|0.04226994514465332
17|2000|1|0.00605320930480957|0.05975651741027832
18|2000|1|0.0054225921630859375|0.04213857650756836
19|2000|1|0.00563502311706543|0.04209184646606445
20|2000|1|0.005732297897338867|0.04256010055541992
21|2000|1|0.005605459213256836|0.04235529899597168
22|2000|1|0.005353212356567383|0.041562557220458984
23|2000|1|0.005462646484375|0.04164266586303711
24|2000|1|0.0058441162109375|0.041936397552490234
25|2000|1|0.00572967529296875|0.04553794860839844
26|2000|1|0.005770683288574219|0.042958974838256836
27|2000|1|0.006329774856567383|0.04335474967956543
28|2000|1|0.007954597473144531|0.04635143280029297
29|2000|1|0.006440162658691406|0.04300665855407715
30|2000|1|0.006464481353759766|0.04409670829772949
31|2000|1|0.0059413909912109375|0.04310941696166992
32|2000|1|0.005915641784667969|0.04263758659362793
33|2000|1|0.005442380905151367|0.04245638847351074
34|2000|1|0.0056574344635009766|0.04195427894592285
35|2000|1|0.005501985549926758|0.041985273361206055
36|2000|1|0.00561833381652832|0.04196906089782715
37|2000|1|0.00547337532043457|0.04518318176269531
38|2000|1|0.005540370941162109|0.04180312156677246
39|2000|1|0.006705522537231445|0.043591976165771484
40|2000|1|0.00618433952331543|0.06583547592163086
41|2000|1|0.006457090377807617|0.04894900321960449
42|2000|1|0.005612850189208984|0.06118941307067871
43|2000|1|0.005452156066894531|0.04344987869262695
44|2000|1|0.005785703659057617|0.04606485366821289
45|2000|1|0.005733489990234375|0.04260110855102539
46|2000|1|0.005751848220825195|0.04239249229431152
47|2000|1|0.005898475646972656|0.06514668464660645
48|2000|1|0.005419731140136719|0.04206657409667969
49|2000|1|0.005216121673583984|0.04204511642456055
0|4000|2|0.0060765743255615234|0.09594321250915527
1|4000|2|0.0078051090240478516|0.08564543724060059
2|4000|2|0.0071790218353271484|0.08490633964538574
3|4000|2|0.0063114166259765625|0.07891631126403809
4|4000|2|0.005785942077636719|0.07670807838439941
5|4000|2|0.0056760311126708984|0.07601642608642578
6|4000|2|0.006240367889404297|0.07726621627807617
7|4000|2|0.0059661865234375|0.07828855514526367
8|4000|2|0.006300210952758789|0.07652521133422852
9|4000|2|0.0057027339935302734|0.07691383361816406
10|4000|2|0.005939960479736328|0.07637834548950195
11|4000|2|0.005829572677612305|0.07706427574157715
12|4000|2|0.0056455135345458984|0.08253145217895508
13|4000|2|0.005692243576049805|0.07597923278808594
14|4000|2|0.005877971649169922|0.07741522789001465
15|4000|2|0.005990505218505859|0.0764462947845459
16|4000|2|0.0058062076568603516|0.0762491226196289
17|4000|2|0.006919384002685547|0.07683396339416504
18|4000|2|0.009256362915039062|0.08767867088317871
19|4000|2|0.006796836853027344|0.07866191864013672
20|4000|2|0.0058138370513916016|0.0759742259979248
21|4000|2|0.006079435348510742|0.0826120376586914
22|4000|2|0.005754232406616211|0.07621526718139648
23|4000|2|0.005672454833984375|0.07643675804138184
24|4000|2|0.00587010383605957|0.07620525360107422
25|4000|2|0.0059320926666259766|0.07733607292175293
26|4000|2|0.006263017654418945|0.07673525810241699
27|4000|2|0.0056912899017333984|0.0763397216796875
28|4000|2|0.005789756774902344|0.07629680633544922
29|4000|2|0.006621122360229492|0.07681393623352051
30|4000|2|0.006014585494995117|0.09520745277404785
31|4000|2|0.0058171749114990234|0.07765698432922363
32|4000|2|0.006482601165771484|0.0768735408782959
33|4000|2|0.005410909652709961|0.1057744026184082
34|4000|2|0.009247064590454102|0.09061360359191895
35|4000|2|0.006630897521972656|0.08856487274169922
36|4000|2|0.006164073944091797|0.08735060691833496
37|4000|2|0.005963563919067383|0.08629608154296875
38|4000|2|0.005845546722412109|0.08709359169006348
39|4000|2|0.005666494369506836|0.0872182846069336
40|4000|2|0.0058574676513671875|0.08651471138000488
41|4000|2|0.005600452423095703|0.08630490303039551
42|4000|2|0.005921125411987305|0.0874638557434082
43|4000|2|0.005713939666748047|0.0877537727355957
44|4000|2|0.005652666091918945|0.08709573745727539
45|4000|2|0.005785465240478516|0.08847951889038086
46|4000|2|0.005742073059082031|0.08893156051635742
47|4000|2|0.005676746368408203|0.08976912498474121
48|4000|2|0.005745410919189453|0.08659029006958008
49|4000|2|0.00545191764831543|0.08663821220397949
0|8000|3|0.008556365966796875|0.17237472534179688
1|8000|3|0.00736546516418457|0.16742444038391113
2|8000|3|0.007659912109375|0.16624855995178223
3|8000|3|0.007754325866699219|0.16813445091247559
4|8000|3|0.007649660110473633|0.1674656867980957
5|8000|3|0.007136344909667969|0.16766762733459473
6|8000|3|0.007330179214477539|0.1666724681854248
7|8000|3|0.007964372634887695|0.16718840599060059
8|8000|3|0.007584333419799805|0.16829514503479004
9|8000|3|0.008045434951782227|0.1679859161376953
10|8000|3|0.011535167694091797|0.17123913764953613
11|8000|3|0.007891416549682617|0.17011451721191406
12|8000|3|0.007676601409912109|0.17108368873596191
13|8000|3|0.007558107376098633|0.16707634925842285
14|8000|3|0.007401466369628906|0.16683173179626465
15|8000|3|0.007436990737915039|0.18287205696105957
16|8000|3|0.007899284362792969|0.16761112213134766
17|8000|3|0.00775146484375|0.16803598403930664
18|8000|3|0.007532358169555664|0.1705009937286377
19|8000|3|0.007673740386962891|0.16774845123291016
20|8000|3|0.007776975631713867|0.17014288902282715
21|8000|3|0.007822513580322266|0.16850590705871582
22|8000|3|0.008675098419189453|0.17129254341125488
23|8000|3|0.007511138916015625|0.16790437698364258
24|8000|3|0.007795095443725586|0.16724395751953125
25|8000|3|0.007326602935791016|0.16888856887817383
26|8000|3|0.0076334476470947266|0.16702795028686523
27|8000|3|0.008126258850097656|0.1672077178955078
28|8000|3|0.007402896881103516|0.16665077209472656
29|8000|3|0.00742793083190918|0.16582417488098145
30|8000|3|0.007478237152099609|0.1683809757232666
31|8000|3|0.008220911026000977|0.16977238655090332
32|8000|3|0.0075490474700927734|0.16773104667663574
33|8000|3|0.00723719596862793|0.16722440719604492
34|8000|3|0.007400035858154297|0.16737675666809082
35|8000|3|0.007360696792602539|0.17287087440490723
36|8000|3|0.0076253414154052734|0.16672015190124512
37|8000|3|0.007841110229492188|0.18153071403503418
38|8000|3|0.007467985153198242|0.18370676040649414
39|8000|3|0.0072782039642333984|0.16738319396972656
40|8000|3|0.007177829742431641|0.16645455360412598
41|8000|3|0.007312297821044922|0.1659832000732422
42|8000|3|0.007620573043823242|0.16828036308288574
43|8000|3|0.007399320602416992|0.1678483486175537
44|8000|3|0.007580995559692383|0.17022180557250977
45|8000|3|0.008466958999633789|0.26806092262268066
46|8000|3|0.007762432098388672|0.17212247848510742
47|8000|3|0.007169961929321289|0.1705610752105713
48|8000|3|0.007234334945678711|0.1730210781097412
49|8000|3|0.007639169692993164|0.1868598461151123
0|16000|4|0.041239023208618164|0.3781907558441162
1|16000|4|0.017206668853759766|0.31508898735046387
2|16000|4|0.016834020614624023|0.30724477767944336
3|16000|4|0.014999628067016602|0.29596543312072754
4|16000|4|0.013573646545410156|0.29608845710754395
5|16000|4|0.01493978500366211|0.29596996307373047
6|16000|4|0.015682220458984375|0.297457218170166
7|16000|4|0.014634132385253906|0.2983536720275879
8|16000|4|0.016101598739624023|0.29844236373901367
9|16000|4|0.0147552490234375|0.29713892936706543
10|16000|4|0.013383150100708008|0.29433608055114746
11|16000|4|0.013759374618530273|0.29641246795654297
12|16000|4|0.01520991325378418|0.2995009422302246
13|16000|4|0.013595819473266602|0.2950572967529297
14|16000|4|0.015250682830810547|0.2996354103088379
15|16000|4|0.01345968246459961|0.29454970359802246
16|16000|4|0.015324115753173828|0.29531311988830566
17|16000|4|0.016239643096923828|0.29738402366638184
18|16000|4|0.015067100524902344|0.29587793350219727
19|16000|4|0.015257596969604492|0.2965505123138428
20|16000|4|0.015729427337646484|0.29742980003356934
21|16000|4|0.014619112014770508|0.29827260971069336
22|16000|4|0.016271352767944336|0.29822540283203125
23|16000|4|0.013709545135498047|0.2925548553466797
24|16000|4|0.01578235626220703|0.2978994846343994
25|16000|4|0.014812469482421875|0.3039357662200928
26|16000|4|0.013923883438110352|0.2953343391418457
27|16000|4|0.015015840530395508|0.2959177494049072
28|16000|4|0.01537013053894043|0.2955474853515625
29|16000|4|0.015468835830688477|0.29555439949035645
30|16000|4|0.014233112335205078|0.29639196395874023
31|16000|4|0.015501260757446289|0.2996518611907959
32|16000|4|0.015204668045043945|0.29647135734558105
33|16000|4|0.015397310256958008|0.3332827091217041
34|16000|4|0.015359640121459961|0.336592435836792
35|16000|4|0.015696287155151367|0.34641361236572266
36|16000|4|0.01527094841003418|0.328718900680542
37|16000|4|0.014719009399414062|0.2976260185241699
38|16000|4|0.014800786972045898|0.2953970432281494
39|16000|4|0.01471257209777832|0.2953066825866699
40|16000|4|0.015068292617797852|0.295743465423584
41|16000|4|0.01642441749572754|0.31630849838256836
42|16000|4|0.014458656311035156|0.29405975341796875
43|16000|4|0.014702081680297852|0.2925550937652588
44|16000|4|0.014581918716430664|0.2925431728363037
45|16000|4|0.014595270156860352|0.2922375202178955
46|16000|4|0.014154195785522461|0.29059886932373047
47|16000|4|0.014533281326293945|0.28929615020751953
48|16000|4|0.014636039733886719|0.2914154529571533
49|16000|4|0.014644145965576172|0.2904667854309082
0|32000|5|0.018845558166503906|0.6011602878570557
1|32000|5|0.01727914810180664|0.5699374675750732
2|32000|5|0.017715930938720703|0.5692071914672852
3|32000|5|0.019406557083129883|0.5720574855804443
4|32000|5|0.0170285701751709|0.5717670917510986
5|32000|5|0.01564192771911621|0.5682566165924072
6|32000|5|0.016898393630981445|0.5781793594360352
7|32000|5|0.01626110076904297|0.5689001083374023
8|32000|5|0.016141414642333984|0.5688369274139404
9|32000|5|0.015533447265625|0.575286865234375
10|32000|5|0.016234636306762695|0.5680816173553467
11|32000|5|0.015876054763793945|0.5692307949066162
12|32000|5|0.01610875129699707|0.5678112506866455
13|32000|5|0.015534400939941406|0.566875696182251
14|32000|5|0.01594996452331543|0.5734410285949707
15|32000|5|0.015429973602294922|0.5656335353851318
16|32000|5|0.016359329223632812|0.5679411888122559
17|32000|5|0.017811298370361328|0.5781652927398682
18|32000|5|0.016700029373168945|0.5695595741271973
19|32000|5|0.01604938507080078|0.5703442096710205
20|32000|5|0.016921043395996094|0.5700874328613281
21|32000|5|0.01640939712524414|0.590172290802002
22|32000|5|0.015814542770385742|0.5653812885284424
23|32000|5|0.015991687774658203|0.5661907196044922
24|32000|5|0.01588582992553711|0.568711519241333
25|32000|5|0.015804529190063477|0.6195745468139648
26|32000|5|0.01554560661315918|0.5670421123504639
27|32000|5|0.016592741012573242|0.5699746608734131
28|32000|5|0.01645517349243164|0.5676298141479492
29|32000|5|0.016252517700195312|0.5800223350524902
30|32000|5|0.01625227928161621|0.567680835723877
31|32000|5|0.015625476837158203|0.5700464248657227
32|32000|5|0.01645803451538086|0.5676205158233643
33|32000|5|0.015732526779174805|0.5660436153411865
34|32000|5|0.016230106353759766|0.566504716873169
35|32000|5|0.015996456146240234|0.5656774044036865
36|32000|5|0.01564645767211914|0.5683174133300781
37|32000|5|0.015420913696289062|0.5684013366699219
38|32000|5|0.01577901840209961|0.5665209293365479
39|32000|5|0.01589035987854004|0.5672063827514648
40|32000|5|0.015793800354003906|0.5660185813903809
41|32000|5|0.015704631805419922|0.5660603046417236
42|32000|5|0.016986608505249023|0.5679137706756592
43|32000|5|0.015633106231689453|0.6177325248718262
44|32000|5|0.015870094299316406|0.5674457550048828
45|32000|5|0.017095088958740234|0.5695974826812744
46|32000|5|0.015986919403076172|0.5694499015808105
47|32000|5|0.016612529754638672|0.5677697658538818
48|32000|5|0.015781879425048828|0.5670716762542725
49|32000|5|0.016336917877197266|0.568260669708252
0|64000|6|0.0271914005279541|1.277815580368042
1|64000|6|0.024091720581054688|1.1551592350006104
2|64000|6|0.020842552185058594|1.1306777000427246
3|64000|6|0.023317337036132812|1.1378848552703857
4|64000|6|0.02127861976623535|1.1519341468811035
5|64000|6|0.021160364151000977|1.1727495193481445
6|64000|6|0.023092985153198242|1.2437796592712402
7|64000|6|0.021250486373901367|1.2353715896606445
8|64000|6|0.021751880645751953|1.1504743099212646
9|64000|6|0.02266669273376465|1.169025182723999
10|64000|6|0.022925853729248047|1.1332836151123047
11|64000|6|0.022915363311767578|1.2438592910766602
12|64000|6|0.02141284942626953|1.1310608386993408
13|64000|6|0.020688533782958984|1.146620750427246
14|64000|6|0.021617889404296875|1.1549508571624756
15|64000|6|0.02129364013671875|1.1517038345336914
16|64000|6|0.02205204963684082|1.171910285949707
17|64000|6|0.02223372459411621|1.2215728759765625
18|64000|6|0.022246122360229492|1.155965805053711
19|64000|6|0.02229762077331543|1.1423847675323486
20|64000|6|0.0212705135345459|1.1565258502960205
21|64000|6|0.02168130874633789|1.136462688446045
22|64000|6|0.02193760871887207|1.1532042026519775
23|64000|6|0.0217437744140625|1.14007568359375
24|64000|6|0.021775484085083008|1.2326817512512207
25|64000|6|0.02126479148864746|1.2459309101104736
26|64000|6|0.021558761596679688|1.134516716003418
27|64000|6|0.021746397018432617|1.1582887172698975
28|64000|6|0.02179241180419922|1.1522479057312012
29|64000|6|0.022371530532836914|1.1475422382354736
30|64000|6|0.022095203399658203|1.156905174255371
31|64000|6|0.022370338439941406|1.148271083831787
32|64000|6|0.023415565490722656|1.1760659217834473
33|64000|6|0.025199413299560547|1.150728702545166
34|64000|6|0.022901296615600586|1.1498985290527344
35|64000|6|0.021086931228637695|1.151134729385376
36|64000|6|0.021828174591064453|1.152677297592163
37|64000|6|0.02151322364807129|1.1364226341247559
38|64000|6|0.021440744400024414|1.2339308261871338
39|64000|6|0.021625757217407227|1.1315991878509521
40|64000|6|0.021317481994628906|1.1273720264434814
41|64000|6|0.02208113670349121|1.2393097877502441
42|64000|6|0.021890640258789062|1.2353785037994385
43|64000|6|0.022237062454223633|1.129439353942871
44|64000|6|0.02227926254272461|1.1711878776550293
45|64000|6|0.02166461944580078|1.1331610679626465
46|64000|6|0.022157907485961914|1.129202127456665
47|64000|6|0.022150754928588867|1.1298179626464844
48|64000|6|0.022796630859375|1.2381234169006348
49|64000|6|0.022176504135131836|1.1349234580993652
0|128000|7|0.04440164566040039|2.3161165714263916
1|128000|7|0.044293880462646484|2.2738263607025146
2|128000|7|0.04040408134460449|2.263127088546753
3|128000|7|0.03676104545593262|2.2782845497131348
4|128000|7|0.0377497673034668|2.2950539588928223
5|128000|7|0.0390019416809082|2.306586503982544
6|128000|7|0.03850293159484863|2.3704755306243896
7|128000|7|0.03746390342712402|2.254767417907715
8|128000|7|0.044080257415771484|2.563340902328491
9|128000|7|0.03602910041809082|2.427473783493042
10|128000|7|0.041794776916503906|2.452260732650757
11|128000|7|0.036145925521850586|2.254312753677368
12|128000|7|0.03806710243225098|2.462904453277588
13|128000|7|0.03598761558532715|2.321967124938965
14|128000|7|0.0417025089263916|2.4923553466796875
15|128000|7|0.03802824020385742|2.2532081604003906
16|128000|7|0.03557443618774414|2.406909942626953
17|128000|7|0.03902840614318848|2.471506118774414
18|128000|7|0.03627467155456543|2.257845878601074
19|128000|7|0.03624224662780762|2.4465694427490234
20|128000|7|0.03605842590332031|2.2594597339630127
21|128000|7|0.035674095153808594|2.2518556118011475
22|128000|7|0.0358891487121582|2.2795679569244385
23|128000|7|0.03578352928161621|2.260911226272583
24|128000|7|0.03539252281188965|2.4636011123657227
25|128000|7|0.03560495376586914|2.2599282264709473
26|128000|7|0.035439252853393555|2.465210199356079
27|128000|7|0.0364377498626709|2.4213109016418457
28|128000|7|0.035199642181396484|2.2521708011627197
29|128000|7|0.035718679428100586|2.469508647918701
30|128000|7|0.04402637481689453|2.3601880073547363
31|128000|7|0.04654288291931152|2.4962048530578613
32|128000|7|0.04590916633605957|2.4417996406555176
33|128000|7|0.04263019561767578|2.3723788261413574
34|128000|7|0.04342079162597656|2.3747966289520264
35|128000|7|0.04403066635131836|2.36139178276062
36|128000|7|0.04364514350891113|2.4937820434570312
37|128000|7|0.04257512092590332|2.4158666133880615
38|128000|7|0.04414844512939453|2.347268581390381
39|128000|7|0.04195356369018555|2.3475518226623535
40|128000|7|0.04259300231933594|2.3315813541412354
41|128000|7|0.05468559265136719|2.3480703830718994
42|128000|7|0.04244565963745117|2.315537691116333
43|128000|7|0.04260063171386719|2.3243627548217773
44|128000|7|0.04171395301818848|2.3193204402923584
45|128000|7|0.04186558723449707|2.313086748123169
46|128000|7|0.04751729965209961|2.311682939529419
47|128000|7|0.04671216011047363|2.4323580265045166
48|128000|7|0.04277634620666504|2.3716816902160645
49|128000|7|0.04241180419921875|2.2847790718078613
0|256000|8|0.05720877647399902|4.676358938217163
1|256000|8|0.0796506404876709|4.692366600036621
2|256000|8|0.08239126205444336|5.150038003921509
3|256000|8|0.07088351249694824|5.422814130783081
4|256000|8|0.07177281379699707|4.81792688369751
5|256000|8|0.07246947288513184|4.8814074993133545
6|256000|8|0.0760507583618164|4.737589120864868
7|256000|8|0.06544256210327148|4.629900217056274
8|256000|8|0.05819416046142578|4.570106029510498
9|256000|8|0.06407475471496582|4.572510242462158
10|256000|8|0.06464409828186035|4.545093059539795
11|256000|8|0.06226038932800293|4.529665470123291
12|256000|8|0.06245565414428711|4.571857452392578
13|256000|8|0.05812549591064453|4.509170055389404
14|256000|8|0.05768418312072754|4.545893669128418
15|256000|8|0.05678582191467285|4.495604991912842
16|256000|8|0.058496952056884766|4.53430700302124
17|256000|8|0.05660080909729004|4.508592844009399
18|256000|8|0.05957603454589844|4.5138349533081055
19|256000|8|0.05689692497253418|4.5016930103302
20|256000|8|0.058399200439453125|4.511866807937622
21|256000|8|0.05645322799682617|4.491234064102173
22|256000|8|0.059388160705566406|4.519652843475342
23|256000|8|0.06758618354797363|4.833650827407837
24|256000|8|0.07163786888122559|4.833231210708618
25|256000|8|0.0689249038696289|4.736913442611694
26|256000|8|0.0700383186340332|4.741253137588501
27|256000|8|0.06851983070373535|4.705797910690308
28|256000|8|0.0622100830078125|4.671727657318115
29|256000|8|0.05776262283325195|4.599651575088501
30|256000|8|0.057801008224487305|4.559750318527222
31|256000|8|0.05664634704589844|4.566033840179443
32|256000|8|0.057860374450683594|4.589598655700684
33|256000|8|0.05643343925476074|4.553410291671753
34|256000|8|0.05777692794799805|4.539954423904419
35|256000|8|0.05668234825134277|4.565138578414917
36|256000|8|0.057753801345825195|4.560014963150024
37|256000|8|0.05666303634643555|4.538126468658447
38|256000|8|0.058218955993652344|4.524369955062866
39|256000|8|0.05693316459655762|4.536790609359741
40|256000|8|0.059799909591674805|4.7589497566223145
41|256000|8|0.0568699836730957|4.524531841278076
42|256000|8|0.05776214599609375|4.528707027435303
43|256000|8|0.056264638900756836|4.5007004737854
44|256000|8|0.05855679512023926|4.516861438751221
45|256000|8|0.05722928047180176|4.515723466873169
46|256000|8|0.05744647979736328|4.5545806884765625
47|256000|8|0.056697845458984375|4.50274920463562
48|256000|8|0.05785703659057617|4.497073411941528
49|256000|8|0.0574033260345459|4.54486346244812
0|512000|9|0.1520695686340332|9.25058388710022
1|512000|9|0.16592979431152344|9.067526578903198
2|512000|9|0.1619720458984375|9.044898271560669
3|512000|9|0.16222500801086426|9.075517416000366
4|512000|9|0.1629960536956787|9.107976913452148
5|512000|9|0.1531524658203125|9.071958780288696
6|512000|9|0.16163086891174316|9.088183164596558
7|512000|9|0.16272544860839844|9.069649696350098
8|512000|9|0.16641473770141602|9.056661367416382
9|512000|9|0.1605699062347412|9.05593752861023
10|512000|9|0.16433000564575195|9.195901155471802
11|512000|9|0.18009090423583984|9.675039529800415
12|512000|9|0.17618560791015625|9.523401498794556
13|512000|9|0.17572021484375|9.257622480392456
14|512000|9|0.16627955436706543|9.382816076278687
15|512000|9|0.1877899169921875|9.931424140930176
16|512000|9|0.1884465217590332|9.617034435272217
17|512000|9|0.17567777633666992|9.275741338729858
18|512000|9|0.17467021942138672|9.176843404769897
19|512000|9|0.17785048484802246|9.246416330337524
20|512000|9|0.16888785362243652|9.217216968536377
21|512000|9|0.16185402870178223|9.239022970199585
22|512000|9|0.1609821319580078|9.532423257827759
23|512000|9|0.17744207382202148|9.745083570480347
24|512000|9|0.15656661987304688|9.437360525131226
25|512000|9|0.16568779945373535|10.469329595565796
26|512000|9|0.17679357528686523|9.682676792144775
27|512000|9|0.1649777889251709|9.67268967628479
28|512000|9|0.1841578483581543|9.570861101150513
29|512000|9|0.16133618354797363|10.789539337158203
30|512000|9|0.20336103439331055|9.504494190216064
31|512000|9|0.1793525218963623|10.573695182800293
32|512000|9|0.17224836349487305|9.592441320419312
33|512000|9|0.18798017501831055|9.695448875427246
34|512000|9|0.19889545440673828|9.52695894241333
35|512000|9|0.1679086685180664|9.938721895217896
36|512000|9|0.16748905181884766|10.003726482391357
37|512000|9|0.17147111892700195|9.441025972366333
38|512000|9|0.18474864959716797|9.301120042800903
39|512000|9|0.1893298625946045|9.33457899093628
40|512000|9|0.17202973365783691|9.29887342453003
41|512000|9|0.17209386825561523|9.214521169662476
42|512000|9|0.17869257926940918|9.676737785339355
43|512000|9|0.1650834083557129|9.620748043060303
44|512000|9|0.16994810104370117|10.009234189987183
45|512000|9|0.1630539894104004|9.314043521881104
46|512000|9|0.1786637306213379|9.175413608551025
47|512000|9|0.1414051055908203|11.863407373428345
48|512000|9|0.1435239315032959|9.28191328048706
49|512000|9|0.14431500434875488|9.19552230834961
0|1024000|10|0.3485383987426758|18.671255350112915
1|1024000|10|0.36335325241088867|19.29146647453308
2|1024000|10|0.27930259704589844|18.216593027114868
3|1024000|10|0.28035831451416016|19.99601459503174
4|1024000|10|0.277742862701416|19.963919162750244
5|1024000|10|0.3409383296966553|19.600900888442993
6|1024000|10|0.3437349796295166|19.254776000976562
7|1024000|10|0.40171217918395996|19.213369369506836
8|1024000|10|0.3471951484680176|18.845815658569336
9|1024000|10|0.3381800651550293|19.597795963287354
10|1024000|10|0.3697197437286377|19.353822946548462
11|1024000|10|0.30779027938842773|19.28356385231018
12|1024000|10|0.27653956413269043|19.674278736114502
13|1024000|10|0.2509915828704834|18.432623386383057
14|1024000|10|0.24019861221313477|18.11421227455139
15|1024000|10|0.2443990707397461|18.052093029022217
16|1024000|10|0.28667521476745605|17.991907596588135
17|1024000|10|0.24452495574951172|18.0530903339386
18|1024000|10|0.3209958076477051|17.996638774871826
19|1024000|10|0.23738503456115723|18.064429759979248
20|1024000|10|0.24605298042297363|17.90098261833191
21|1024000|10|0.3008558750152588|17.985880851745605
22|1024000|10|0.24303746223449707|18.049548387527466
23|1024000|10|0.2485363483428955|17.929434061050415
24|1024000|10|0.3073995113372803|18.044572830200195
25|1024000|10|0.2472391128540039|17.988468170166016
26|1024000|10|0.28861474990844727|18.135047435760498
27|1024000|10|0.258159875869751|18.029457092285156
28|1024000|10|0.25766658782958984|18.07447862625122
29|1024000|10|0.2622866630554199|17.963773727416992
30|1024000|10|0.31508755683898926|18.055031776428223
31|1024000|10|0.3145580291748047|19.170019388198853
32|1024000|10|0.24976611137390137|18.770878076553345
33|1024000|10|0.24272727966308594|18.370108604431152
34|1024000|10|0.2509171962738037|18.19701361656189
35|1024000|10|0.3478066921234131|18.323909044265747
36|1024000|10|0.3035004138946533|19.44037675857544
37|1024000|10|0.31566762924194336|20.967861652374268
38|1024000|10|0.2474968433380127|18.511322736740112
39|1024000|10|0.2559928894042969|18.40718674659729
40|1024000|10|0.28957414627075195|18.231536149978638
41|1024000|10|0.2707681655883789|18.532647371292114
42|1024000|10|0.2890791893005371|17.856440544128418
43|1024000|10|0.2834434509277344|17.993592023849487
44|1024000|10|0.3179285526275635|18.191139221191406
45|1024000|10|0.3121201992034912|18.061673164367676
46|1024000|10|0.3142397403717041|17.972347497940063
47|1024000|10|0.32451915740966797|18.256888389587402
48|1024000|10|0.32996511459350586|18.079164743423462
49|1024000|10|0.316389799118042|18.077610731124878
